112,202,46127,3,
113,202,46074,2,5
114,202,46046,2,1
115,202,46063,3,
116,202,46063,9,
117,192,46207,3,
118,192,46094,2,1
119,192,46207,3,
120,192,46094,2,5
121,192,46190,2,1
122,192,46080,3,
123,192,46033,2,1
124,192,46090,3,
125,192,46094,9,
126,186,46037,2,1
155,186,46106,3,
156,186,46262,2,1
157,186,46106,9,
158,193,46127,3,
159,193,46195,2,5
160,193,46066,9,
161,201,46037,2,1
162,201,46106,3,
163,201,46037,9,
164,201,46050,12,
165,188,46074,2,5
166,188,46077,3,
167,188,46063,2,1
168,188,46066,2,1
169,188,46152,2,5
170,188,46092,3,
171,188,46066,2,1
172,188,46063,3,
173,188,46066,9,
174,183,46116,2,1
175,183,46083,9,
176,203,46052,2,1
177,203,46152,2,5
178,203,46127,3,
179,203,46127,9,
180,190,46096,2,1
181,190,46042,2,1
182,190,46042,9,
183,190,46042,3,
184,187,46080,3,
185,187,46052,2,1
186,187,46052,2,5
187,187,46207,3,
188,187,46052,2,1
189,187,46050,3,
190,187,46116,12,
191,187,46052,9,
192,198,46073,2,2
193,198,46037,2,5
194,198,46068,3,
195,198,46042,9,
196,185,46042,2,5
197,185,46042,2,1
198,185,46078,3,
199,185,46042,2,1
200,185,46042,9,
201,185,46042,2,1
202,181,46085,12,
203,181,46239,2,5
204,181,46190,3,
205,181,46094,2,1
206,181,46093,3,
207,181,46239,9,
208,182,46122,2,1
209,182,46031,3,
210,182,46063,2,5
211,182,46066,3,
212,182,46077,2,1
213,182,46176,12,
214,182,46063,2,1
215,182,46074,3,
216,182,46063,2,5
217,182,46127,3,
218,182,46063,9,
219,176,46031,2,1
220,176,46240,12,
221,176,46039,12,
222,176,46044,2,1
223,176,46044,9,
224,179,46049,2,1
225,179,46240,12,
226,179,46042,2,5
227,179,46122,2,1
228,179,46117,2,1
229,179,46049,3,
230,180,46110,2,5
231,180,46068,3,
232,179,46122,9,
233,180,46146,14,
234,180,46131,2,5
235,180,46106,3,
236,180,46037,2,1
237,180,46106,9,
238,180,46068,3,
239,200,46117,2,1
240,200,46042,3,
241,200,46042,2,5
242,200,46076,3,
243,200,46143,9,
244,177,46031,2,1
245,177,46031,9,
246,199,46073,2,1
247,199,46049,3,
248,199,46190,2,1
249,199,46049,9,
250,224,46077,2,1
251,224,46303,12,
252,224,46127,3,
253,224,46092,2,1
254,224,46207,2,1
255,224,46094,12,
256,224,46056,3,
257,224,46063,2,5
258,224,46063,9,
259,212,46068,2,1
260,212,46106,3,
261,212,46037,2,1
262,212,46110,9,
263,208,46039,12,
264,208,46207,2,1
265,208,46207,2,1
266,208,46146,9,
267,206,46096,2,1
268,206,46085,12,
269,206,46064,2,1
270,206,46085,3,
271,206,46120,12,
272,206,46254,9,
273,214,46056,2,1
274,214,46077,12,
275,214,46077,2,1
276,214,46056,3,
277,214,46063,2,5
278,214,46074,3,
279,214,46056,2,5
280,214,46092,3,
281,214,46063,2,1
282,214,46092,3,
283,214,46127,3,
284,214,46195,2,5
285,214,46056,9,
286,219,46102,2,1
287,219,46149,12,
288,219,46149,3,
289,219,46041,2,5
290,219,46037,2,1
291,219,46037,9,
292,207,46104,14,
293,207,46037,7,
294,207,46097,7,
295,207,46039,2,1
296,207,46122,3,
297,207,46085,12,
298,207,46106,2,1
299,207,46041,3,
300,207,46262,2,5
301,207,46144,3,
302,207,46262,9,
303,223,46144,2,5
305,223,46311,3,
306,223,46311,9,
307,213,46052,2,5
308,213,46178,3,
309,213,46050,3,
310,213,46178,2,1
311,213,46052,2,1
312,213,46303,3,
313,213,46207,2,1
314,213,46178,9,
315,211,46049,2,1
316,211,46044,2,1
317,211,46049,9,
318,220,46042,2,1
319,220,46049,3,
320,220,46239,2,5
321,220,46190,3,
322,220,46042,2,5
323,220,46062,3,
324,220,46042,2,5
325,220,46049,3,
326,220,46094,2,5
327,220,46042,2,5
328,220,46049,3,
329,220,46049,2,1
330,220,46042,9,
331,209,46063,3,
332,209,46074,2,1
333,209,46063,2,1
334,209,46077,3,
335,209,46077,2,1
336,209,46092,3,
337,209,46039,2,5
338,209,46064,3,
339,209,46063,3,
340,209,46074,2,1
341,209,46077,9,
342,204,46039,2,5
343,204,46122,3,
344,204,46039,2,1
345,204,46039,12,
346,204,46044,2,5
347,204,46198,3,
348,204,46122,12,
349,204,46240,12,
350,204,46039,9,
351,222,46052,12,
352,222,46190,2,1
